src_ip,dst_ip,src_port,dst_port,protocol,packet_length
172.17.98.74,224.0.0.251,5353.0,5353.0,17,323
172.17.97.119,224.0.0.251,5353.0,5353.0,17,272
172.17.97.101,224.0.0.251,5353.0,5353.0,17,99
172.17.99.148,224.0.0.251,5353.0,5353.0,17,86
172.17.96.241,172.17.103.255,137.0,137.0,17,96
172.17.98.242,224.0.0.251,5353.0,5353.0,17,301
172.17.99.148,224.0.0.251,5353.0,5353.0,17,381
172.17.99.148,224.0.0.251,5353.0,5353.0,17,324
172.17.102.63,239.255.255.250,60581.0,1900.0,17,216
172.17.101.63,224.0.0.251,5353.0,5353.0,17,103
172.17.98.242,239.255.255.250,49460.0,1900.0,17,171
172.17.100.71,18.67.161.87,50519.0,443.0,6,55
172.17.98.238,224.0.0.251,5353.0,5353.0,17,119
18.67.161.87,172.17.100.71,443.0,50519.0,6,70
172.17.98.242,224.0.0.251,5353.0,5353.0,17,87
172.17.100.100,224.0.0.251,5353.0,5353.0,17,319
172.17.100.34,224.0.0.251,5353.0,5353.0,17,311
172.17.97.232,224.0.0.251,5353.0,5353.0,17,345
172.17.96.26,224.0.0.251,5353.0,5353.0,17,315
172.17.100.122,239.255.255.250,57037.0,1900.0,17,183
172.17.103.45,224.0.0.251,5353.0,5353.0,17,340
172.17.97.13,224.0.0.251,5353.0,5353.0,17,319
172.17.98.74,224.0.0.251,5353.0,5353.0,17,323
0.0.0.0,255.255.255.255,68.0,67.0,17,342
172.17.99.188,224.0.0.251,5353.0,5353.0,17,325
172.17.96.241,172.17.103.255,137.0,137.0,17,96
172.17.103.30,224.0.0.251,5353.0,5353.0,17,335
172.17.100.20,239.255.255.250,55078.0,1900.0,17,216
172.17.96.202,172.17.103.255,138.0,138.0,17,220
172.17.100.71,104.18.27.48,64888.0,443.0,6,2602
172.17.100.71,104.18.27.48,64888.0,443.0,6,93
172.17.100.71,104.18.27.48,64888.0,443.0,6,1168
104.18.27.48,172.17.100.71,443.0,64888.0,6,60
104.18.27.48,172.17.100.71,443.0,64888.0,6,60
104.18.27.48,172.17.100.71,443.0,64888.0,6,60
104.18.27.48,172.17.100.71,443.0,64888.0,6,60
104.18.27.48,172.17.100.71,443.0,64888.0,6,93
172.17.100.71,104.18.27.48,64888.0,443.0,6,54
172.17.100.1,239.255.255.250,58360.0,1900.0,17,183
172.17.99.1,239.255.255.250,60398.0,1900.0,17,178
172.17.99.63,172.17.103.255,57621.0,57621.0,17,86
104.18.27.48,172.17.100.71,443.0,64888.0,6,169
104.18.27.48,172.17.100.71,443.0,64888.0,6,172
104.18.27.48,172.17.100.71,443.0,64888.0,6,85
172.17.100.71,104.18.27.48,64888.0,443.0,6,54
172.17.100.71,104.18.27.48,64888.0,443.0,6,89
104.18.27.48,172.17.100.71,443.0,64888.0,6,60
172.17.101.85,239.255.255.250,64550.0,1900.0,17,173
172.17.101.85,239.255.255.250,64550.0,1900.0,17,171
172.17.96.26,172.17.103.255,57621.0,57621.0,17,86
172.17.101.85,239.255.255.250,64550.0,1900.0,17,173
172.17.101.85,239.255.255.250,64550.0,1900.0,17,171
172.17.102.63,239.255.255.250,60581.0,1900.0,17,216
172.17.99.24,239.255.255.250,64813.0,1900.0,17,183
172.17.99.24,239.255.255.250,64813.0,1900.0,17,183
172.17.96.241,172.17.103.255,137.0,137.0,17,96
172.17.101.85,239.255.255.250,64550.0,1900.0,17,183
172.17.98.102,239.255.255.250,55919.0,1900.0,17,171
172.17.100.20,239.255.255.250,55078.0,1900.0,17,216
172.17.99.1,239.255.255.250,60398.0,1900.0,17,179
150.171.73.16,172.17.100.71,443.0,49671.0,6,64
172.17.97.119,224.0.0.251,5353.0,5353.0,17,272
172.17.98.242,224.0.0.251,5353.0,5353.0,17,301
172.17.96.202,224.0.0.251,5353.0,5353.0,17,1235
172.17.100.71,104.18.26.48,58350.0,443.0,6,55
104.18.26.48,172.17.100.71,443.0,58350.0,6,66
172.17.100.196,224.0.0.251,5353.0,5353.0,17,1224
172.17.100.71,172.17.96.1,62429.0,53.0,17,88
172.17.100.71,172.17.96.1,59833.0,53.0,17,88
172.17.100.71,3.233.158.25,63214.0,443.0,6,54
172.17.100.71,3.233.158.25,63214.0,443.0,6,54
172.17.100.71,3.233.158.111,54977.0,443.0,6,941
172.17.100.71,3.233.158.111,54977.0,443.0,6,1700
172.17.96.1,172.17.100.71,53.0,59833.0,17,136
172.17.96.1,172.17.100.71,53.0,62429.0,17,172
172.17.103.243,172.17.103.255,57621.0,57621.0,17,86
172.17.102.63,239.255.255.250,60581.0,1900.0,17,216
172.17.98.242,239.255.255.250,49460.0,1900.0,17,171
3.233.158.111,172.17.100.71,443.0,54977.0,6,60
3.233.158.111,172.17.100.71,443.0,54977.0,6,60
172.17.98.242,224.0.0.251,5353.0,5353.0,17,87
172.17.100.100,224.0.0.251,5353.0,5353.0,17,319
172.17.100.34,224.0.0.251,5353.0,5353.0,17,311
172.17.96.26,224.0.0.251,5353.0,5353.0,17,315
172.17.97.232,224.0.0.251,5353.0,5353.0,17,345
3.233.158.111,172.17.100.71,443.0,54977.0,6,540
172.17.98.74,224.0.0.251,5353.0,5353.0,17,323
172.17.99.188,224.0.0.251,5353.0,5353.0,17,325
172.17.100.71,3.233.158.111,54977.0,443.0,6,54
172.17.103.45,224.0.0.251,5353.0,5353.0,17,340
172.17.97.13,224.0.0.251,5353.0,5353.0,17,319
172.17.99.1,172.17.103.255,138.0,138.0,17,262
172.17.99.63,224.0.0.251,5353.0,5353.0,17,87
172.17.100.100,224.0.0.251,5353.0,5353.0,17,319
172.17.100.34,224.0.0.251,5353.0,5353.0,17,311
172.17.96.26,224.0.0.251,5353.0,5353.0,17,315
172.17.97.232,224.0.0.251,5353.0,5353.0,17,345
0.0.0.0,255.255.255.255,68.0,67.0,17,342
172.17.103.45,224.0.0.251,5353.0,5353.0,17,340
172.17.103.30,224.0.0.251,5353.0,5353.0,17,335
172.17.103.30,224.0.0.251,5353.0,5353.0,17,335
172.17.97.13,224.0.0.251,5353.0,5353.0,17,319
172.17.103.140,224.0.0.251,5353.0,5353.0,17,87
172.17.100.34,224.0.0.251,5353.0,5353.0,17,311
172.17.100.100,224.0.0.251,5353.0,5353.0,17,319
172.17.97.232,224.0.0.251,5353.0,5353.0,17,345
172.17.96.26,224.0.0.251,5353.0,5353.0,17,315
172.17.98.74,224.0.0.251,5353.0,5353.0,17,323
172.17.99.188,224.0.0.251,5353.0,5353.0,17,325
172.17.99.188,224.0.0.251,5353.0,5353.0,17,325
172.17.97.164,172.17.103.255,52765.0,51007.0,17,186
172.17.103.45,224.0.0.251,5353.0,5353.0,17,340
172.17.97.13,224.0.0.251,5353.0,5353.0,17,319
172.17.98.74,224.0.0.251,5353.0,5353.0,17,323
172.17.99.1,239.255.255.250,60398.0,1900.0,17,147
172.17.103.30,224.0.0.251,5353.0,5353.0,17,335
172.17.99.63,224.0.0.251,5353.0,5353.0,17,87
172.17.100.34,224.0.0.251,5353.0,5353.0,17,311
172.17.100.100,224.0.0.251,5353.0,5353.0,17,319
172.17.96.26,224.0.0.251,5353.0,5353.0,17,315
172.17.97.232,224.0.0.251,5353.0,5353.0,17,345
172.17.103.45,224.0.0.251,5353.0,5353.0,17,340
172.17.97.13,224.0.0.251,5353.0,5353.0,17,319
172.17.99.188,224.0.0.251,5353.0,5353.0,17,325
172.17.97.119,224.0.0.251,5353.0,5353.0,17,272
172.17.103.30,224.0.0.251,5353.0,5353.0,17,335
34.226.10.103,172.17.100.71,443.0,55002.0,6,85
172.17.100.71,34.226.10.103,55002.0,443.0,6,54
0.0.0.0,255.255.255.255,68.0,67.0,17,364
172.17.103.70,224.0.0.252,50513.0,5355.0,17,79
0.0.0.0,255.255.255.255,68.0,67.0,17,342
172.17.103.70,224.0.0.252,50513.0,5355.0,17,79
172.17.102.154,239.255.255.250,64990.0,1900.0,17,216
172.17.98.242,224.0.0.251,5353.0,5353.0,17,301
172.17.103.46,224.0.0.251,5353.0,5353.0,17,100
172.17.103.8,172.17.103.255,138.0,138.0,17,247
172.17.99.151,224.0.0.251,5353.0,5353.0,17,508
172.17.97.1,224.0.0.251,5353.0,5353.0,17,119
172.17.98.240,239.255.255.250,58358.0,1900.0,17,179
172.17.98.240,239.255.255.250,58365.0,1900.0,17,179
172.17.101.85,239.255.255.250,64550.0,1900.0,17,173
172.17.98.93,224.0.0.251,5353.0,5353.0,17,220
172.17.98.93,224.0.0.251,5353.0,5353.0,17,1481
172.17.98.93,224.0.0.251,5353.0,5353.0,17,1492
172.17.98.93,224.0.0.251,5353.0,5353.0,17,109
172.17.98.93,224.0.0.251,5353.0,5353.0,17,1491
172.17.98.93,224.0.0.251,5353.0,5353.0,17,1482
172.17.98.93,224.0.0.251,5353.0,5353.0,17,307
172.17.98.242,239.255.255.250,49460.0,1900.0,17,171
172.17.101.85,239.255.255.250,64550.0,1900.0,17,171
0.0.0.0,255.255.255.255,68.0,67.0,17,350
172.17.101.85,239.255.255.250,64550.0,1900.0,17,173
172.17.102.86,224.0.0.251,5353.0,5353.0,17,115
172.17.101.85,239.255.255.250,64550.0,1900.0,17,171
172.17.98.242,224.0.0.251,5353.0,5353.0,17,87
172.17.100.34,224.0.0.251,5353.0,5353.0,17,311
172.17.100.100,224.0.0.251,5353.0,5353.0,17,319
172.17.97.232,224.0.0.251,5353.0,5353.0,17,345
172.17.99.188,224.0.0.251,5353.0,5353.0,17,325
172.17.101.85,239.255.255.250,64550.0,1900.0,17,183
172.17.103.45,224.0.0.251,5353.0,5353.0,17,340
172.17.99.198,172.17.103.255,137.0,137.0,17,114
172.17.99.198,172.17.103.255,137.0,137.0,17,114
172.17.99.198,172.17.103.255,137.0,137.0,17,114
172.17.97.13,224.0.0.251,5353.0,5353.0,17,319
172.17.98.74,224.0.0.251,5353.0,5353.0,17,323
172.17.97.119,224.0.0.251,5353.0,5353.0,17,272
172.17.98.74,224.0.0.251,5353.0,5353.0,17,77
172.17.100.71,172.17.98.74,5353.0,5353.0,17,501
172.17.96.38,239.255.255.250,53321.0,1900.0,17,216
172.17.99.63,224.0.0.251,5353.0,5353.0,17,87
172.17.100.100,224.0.0.251,5353.0,5353.0,17,319
172.17.100.34,224.0.0.251,5353.0,5353.0,17,311
172.17.102.86,224.0.0.251,5353.0,5353.0,17,1108
172.17.97.232,224.0.0.251,5353.0,5353.0,17,345
172.17.98.93,224.0.0.251,5353.0,5353.0,17,367
172.17.103.45,224.0.0.251,5353.0,5353.0,17,340
172.17.97.13,224.0.0.251,5353.0,5353.0,17,319
172.17.99.188,224.0.0.251,5353.0,5353.0,17,325
172.17.98.74,224.0.0.251,5353.0,5353.0,17,323
172.17.97.118,224.0.0.251,5353.0,5353.0,17,98
172.17.103.46,224.0.0.251,5353.0,5353.0,17,1304
172.17.103.30,224.0.0.251,5353.0,5353.0,17,335
172.17.102.154,239.255.255.250,64990.0,1900.0,17,216
172.17.100.20,239.255.255.250,2200.0,2200.0,17,405
172.17.98.93,224.0.0.251,5353.0,5353.0,17,367
172.17.97.118,224.0.0.251,5353.0,5353.0,17,98
172.17.100.71,172.64.148.235,50060.0,443.0,6,144
172.64.148.235,172.17.100.71,443.0,50060.0,6,60
172.17.98.242,224.0.0.251,5353.0,5353.0,17,301
172.17.99.198,172.17.103.255,137.0,137.0,17,114
172.17.99.198,172.17.103.255,137.0,137.0,17,114
172.17.99.198,172.17.103.255,137.0,137.0,17,114
172.17.98.93,224.0.0.251,5353.0,5353.0,17,367
172.17.98.93,224.0.0.251,5353.0,5353.0,17,220
172.64.148.235,172.17.100.71,443.0,50060.0,6,133
172.17.102.86,224.0.0.251,5353.0,5353.0,17,79
172.17.98.93,224.0.0.251,5353.0,5353.0,17,1483
172.17.97.118,224.0.0.251,5353.0,5353.0,17,98
172.17.100.71,172.64.148.235,50060.0,443.0,6,54
172.17.98.93,224.0.0.251,5353.0,5353.0,17,1480
172.17.98.93,224.0.0.251,5353.0,5353.0,17,121
172.17.98.93,224.0.0.251,5353.0,5353.0,17,126
172.17.100.173,224.0.0.251,5353.0,5353.0,17,276
172.17.100.173,224.0.0.251,5353.0,5353.0,17,85
172.17.98.74,224.0.0.251,5353.0,5353.0,17,77
172.17.103.167,224.0.0.251,5353.0,5353.0,17,436
172.17.98.8,224.0.0.251,5353.0,5353.0,17,275
172.17.100.71,224.0.0.251,5353.0,5353.0,17,501
172.17.103.180,224.0.0.251,5353.0,5353.0,17,431
172.17.101.40,224.0.0.251,5353.0,5353.0,17,475
172.17.97.179,224.0.0.251,5353.0,5353.0,17,417
172.17.102.90,224.0.0.251,5353.0,5353.0,17,666
172.17.98.3,224.0.0.251,5353.0,5353.0,17,411
172.17.96.43,224.0.0.251,5353.0,5353.0,17,417
172.17.103.120,224.0.0.251,5353.0,5353.0,17,497
172.17.97.185,224.0.0.251,5353.0,5353.0,17,467
172.17.100.140,224.0.0.251,5353.0,5353.0,17,475
172.17.96.133,224.0.0.251,5353.0,5353.0,17,341
172.17.99.190,224.0.0.251,5353.0,5353.0,17,647
172.17.102.219,224.0.0.251,5353.0,5353.0,17,417
172.17.98.110,224.0.0.251,5353.0,5353.0,17,473
172.17.96.167,224.0.0.251,5353.0,5353.0,17,485
172.17.103.140,224.0.0.251,5353.0,5353.0,17,576
